"","subj","VTL"
"1",1,15.6901182647413
"2",10,16.4365011956034
"3",11,14.338203384927
"4",14,15.2836007279428
"5",15,15.9434760333139
"6",17,16.2771225568766
"7",18,15.7403478998727
"8",19,15.8246904528199
"9",1,15.6901182647413
"10",20,14.8570113142243
"11",21,15.6268140489654
"12",22,15.0594930382062
"13",23,15.0791839715211
"14",26,15.3022261713215
"15",27,16.0064262881561
"16",28,15.7409092049789
"17",30,17.2069245016376
"18",31,14.3321117261791
"19",32,15.6659004626403
"20",34,15.4201666393774
"21",35,14.6732104144865
"22",36,15.8701381875508
"23",37,15.8441898795729
"24",38,13.9461249820652
"25",41,15.6671674302715
"26",42,16.3174717820991
"27",44,15.1186011902388
"28",45,15.7281644087817
"29",46,15.3935169054001
"30",47,14.7053695061285
"31",48,15.9710576718451
"32",49,15.7118546153641
"33",4,16.6808562052442
"34",50,15.2834552587846
"35",51,15.3554208687237
"36",52,15.2105120318786
"37",53,15.3750933568241
"38",54,15.6821210398865
"39",55,16.3721387012601
"40",56,14.2562405109642
"41",57,16.0534073840651
"42",58,15.4761970227719
"43",59,16.6307293862555
"44",5,16.4769135751426
"45",7,14.5713013212088
"46",9,14.2936583846787
"47",12,17.8622090198291
"48",13,18.5691636566551
"49",29,15.8247091672195
"50",2,17.3547050718565
"51",33,17.5453356546077
"52",3,17.7682497640353
"53",40,17.8301585244299
"54",43,18.1013095443154
"55",60,18.3679118984048
